hoco_tf	gc	len	cpg_percentage_mean	cpg_percentage_median	cpg_percentage_stdev	promoter_percentage_mean	promoter_percentage_median	promoter_percentage_stdev	n_chip_samples
E2F4	0.709846153846154	13	0.5875177581522474	0.5719996696546767	0.2369537257609568	0.7150150896090149	0.7661425877836189	0.2332898110482901	12
E2F5	0.6264462809917355	10	0.2841519673054819	0.2841519673054819	0.02964197375389111	0.4224840108705318	0.4224840108705318	0.03227228719085907	2
E2F6	0.6635384615384615	13	0.4840869472396465	0.4802684305707279	0.12185634524057545	0.5832252396052031	0.5886362601356034	0.09732462506330587	6
E2F7	0.6553846153846155	13	0.24618967614830026	0.16044080706587796	0.1833100159107135	0.4303575948812039	0.2800435677114849	0.2330968582481594	7
E2F8	0.4970238095238096	12	0.4218321605036218	0.4218321605036218	0.18497831151365998	0.6109103390162934	0.6109103390162934	0.160127996266971	2
COE1	0.6159999999999999	15	0.12449254402235828	0.13150319638074198	0.042550488010081454	0.2759381118640155	0.2857107924427308	0.06286509725649315	6
EGR1	0.6750588235294117	17	0.4142282673518212	0.3899562589089422	0.13654051638686554	0.5825672869706325	0.5751741374449721	0.11606636518480792	10
EGR2	0.6861194779116467	16	0.3267139401347484	0.29357967555021125	0.10153837746669904	0.5254278056676809	0.4917534178374995	0.10625212523247254	6
EGR3	0.5928853754940713	11	0.19651419111907845	0.19651419111907845	0.0	0.4202324352879028	0.4202324352879028	0.0	1
EHF	0.4998666666666667	15	0.17279197722402712	0.18606098319850653	0.10979620566365086	0.32609088004561404	0.35904761904761906	0.1722222491024957	5
ELF1	0.5807142857142856	14	0.42376664754603466	0.37092208182448416	0.15861077829240114	0.5678704708829192	0.5011214941224317	0.15812176164046338	20
ELF2	0.5849230769230769	13	0.6611515430318722	0.6611515430318722	0.013120155427942691	0.8728367681269502	0.8728367681269502	0.02817767627895231	2
ELF3	0.4558571428571428	14	0.09246693748852147	0.11644269546917264	0.05191485917082907	0.17552061799136906	0.2150935951722036	0.0838301986522637	4
ELF5	0.5329333333333334	15	0.2489293259988199	0.2489293259988199	0.1736104149556556	0.4635141541378843	0.4635141541378843	0.17969783261563854	2
ELK1	0.5927272727272727	11	0.5171623107270245	0.5126227695558361	0.09826496486388284	0.6613118573786877	0.6674210202220451	0.08819092351745147	10
ELK3	0.6029874213836478	12	0.5361098803721754	0.5361098803721754	0.0	0.7079742687219323	0.7079742687219323	0.0	1
ELK4	0.629	12	0.6535047167604153	0.6417802609963996	0.12276766665872987	0.7935307082656897	0.7971360158472995	0.08588383464468498	6
EMX1	0.2283125054666317	12	0.38145130157422497	0.4403671528251925	0.22271887677711008	0.5400888064944158	0.590919935247	0.17485527012572125	4
EOMES	0.4453591629929102	12	0.046911494360746125	0.05104352046594402	0.020101706774821062	0.16636582954249532	0.15087861038174105	0.06431205818402544	5
EPAS1	0.5795555555555554	9	0.12201367654808755	0.13137735067753772	0.07391484153791385	0.19003842786090056	0.1750871080139373	0.12514138589045867	8
ERG	0.5626153846153846	13	0.3558008027933401	0.33329000739727577	0.1878304267706276	0.4837194884018418	0.4828280504940401	0.16643721264948638	46
ESR1	0.5933999999999999	10	0.11544791257335768	0.06518946692357097	0.13009034655574964	0.21014934994132625	0.15514157973174367	0.15802120624107893	449
ERR1	0.5112676056338028	15	0.25934710431342023	0.2952542546528621	0.13150417616005886	0.4625911269668245	0.5433344388477775	0.1903323641749144	4
ETS1	0.5752307692307692	13	0.4773619527315658	0.4801675393577113	0.12671802689570408	0.6156309991988147	0.6156452461740286	0.12618471597261008	26
ETS2	0.4967692307692307	13	0.305960016105966	0.305960016105966	0.05437580921302803	0.4874855650467381	0.4874855650467381	0.03459141970564194	2
ETV1	0.6381818181818182	11	0.3855883163076408	0.3331862117667829	0.15282367906510058	0.5284742432572754	0.5291962939021763	0.1463316114698135	5
ETV4	0.5145454545454545	11	0.17577471217787802	0.17165465655288664	0.14450759733422902	0.3099393923056211	0.3242330965535385	0.18340633178637047	4
ETV5	0.5174285714285715	14	0.19258041305369847	0.19258041305369847	0.23035794981059546	0.3317025071418285	0.3317025071418285	0.2481898835909735	2
ETV6	0.4917777777777777	9	0.1288623113100258	0.1288623113100258	0.015616797120100088	0.2489086695567309	0.2489086695567309	0.018972338400974644	2
ETV7	0.5279999999999999	7	0.3338926174496644	0.3338926174496644	0.0	0.5472176907739713	0.5472176907739713	0.0	1
FEV	0.6052208835341367	10	0.4816255944660614	0.4816255944660614	0.0	0.6986531986531986	0.6986531986531986	0.0	1
FEZF1	0.4105	12	0.15756716295382556	0.16100294158845774	0.015634657069848255	0.2981085423097233	0.29422090197137457	0.007414151922793768	3
FLI1	0.5443076923076922	13	0.2408602413673001	0.1812200119833952	0.21173818486275967	0.3720302857922243	0.3326210566197447	0.19088323764626214	24
FOS	0.4595555555555555	9	0.17631681162143747	0.08470829906715717	0.2027446529174347	0.28235412619905226	0.19504388669641493	0.23296409543360397	22
FOSL1	0.4708333333333332	12	0.1633475222736153	0.1553697982918408	0.1534841671097924	0.25070100496013936	0.2606963629779088	0.17794168527588947	11
FOSL2	0.4486666666666667	12	0.03722620281786389	0.021777815439369547	0.03877846273144269	0.0843571285347382	0.06009941256213285	0.062133314453267835	41
FOXA1	0.3176666666666667	12	0.04681465873443537	0.032789379588421014	0.058251026772264035	0.14508344319553604	0.130526793137329	0.08463738012898638	187
FOXA2	0.3423333333333333	12	0.0687592657252297	0.018411452916046508	0.13339687648344306	0.15661606069593587	0.10113212624457002	0.15222123296415396	40
FOXD2	0.18978360156589816	19	0.5430233859236879	0.5430233859236879	0.0	0.7231265581463557	0.7231265581463557	0.0	1
FOXD3	0.38752688172043015	15	0.125	0.125	0.0	0.25925925925925924	0.25925925925925924	0.0	1
FOXG1	0.2571945222909976	17	0.331397037467325	0.331397037467325	0.0	0.5547138047138047	0.5547138047138047	0.0	1
FOXH1	0.4204882500570386	9	0.10846476465192398	0.10846476465192398	0.09673606605053996	0.2550807667746573	0.2550807667746573	0.14242696751028774	2
FOXJ2	0.2026385224274406	10	0.3153689673274935	0.3153689673274935	0.019199631749789385	0.4895248284061161	0.4895248284061161	0.013435305983536004	2
FOXK1	0.34240000000000004	10	0.5391365804817716	0.5391365804817716	0.0	0.6748577929465301	0.6748577929465301	0.0	1
FOXM1	0.3661666666666666	12	0.3507112570261587	0.3685545033473573	0.185260252723154	0.5041917309859587	0.5390372798403518	0.2018324563724656	36
FOXO1	0.4444999999999999	12	0.08698924747417341	0.0803560969895748	0.06174077262541304	0.16978964935610458	0.19308943089430894	0.0915169412356088	7
FOXO3	0.3609999999999999	10	0.19448579952884248	0.1742209602180616	0.2105794623244424	0.3203096708713917	0.3115180035364463	0.2498781324168643	4
FOXO4	0.2668451584114235	9	0.040229885057471264	0.040229885057471264	0.0	0.125	0.125	0.0	1
FOXP1	0.335969868173258	9	0.14646228557383353	0.1847366908853355	0.1263985931267229	0.3252139564987475	0.34546615893882776	0.16922534571145378	14
FOXP2	0.3548888888888888	9	0.21771310244670905	0.27476092896174864	0.1955336037325308	0.3276253602666561	0.4768584160421309	0.28410622654881795	3
FOXP3	0.2052469135802469	9	0.4428958576931019	0.4428958576931019	0.03427559890974045	0.6046538608437872	0.6046538608437872	0.017252027397759485	2
FOXQ1	0.2051282051282052	12	0.1011904761904762	0.1011904761904762	0.0	0.273972602739726	0.273972602739726	0.0	1
GABPA	0.6139999999999999	14	0.4502158619086248	0.4041172595520421	0.1945666479739281	0.5947649006234095	0.5767472783179589	0.18717599883944933	31
GATA1	0.3807272727272728	11	0.10498739892461524	0.08265497808390733	0.11478717498651705	0.2312868105325059	0.2	0.15108630318094496	33
GATA2	0.4009090909090908	11	0.08819956199039243	0.04449786175475864	0.13688808311423212	0.18940032320722647	0.13675213675213674	0.15868643605244356	41
GATA3	0.3125454545454546	11	0.06479322353729514	0.03065577549230707	0.09466385804616048	0.1531538714861853	0.11896281538956666	0.11512588341906388	76
GATA4	0.3605999999999999	10	0.09887554776006097	0.04811581860762189	0.12346559785455093	0.23230948905528234	0.1785570334542523	0.1809783384263777	29
GATA6	0.342	13	0.041049830190313635	0.01945337485516912	0.07710677612699156	0.12569380247611958	0.09991661434116214	0.11221768556028734	18
GFI1B	0.4166	10	0.15699427523829873	0.16697221830489353	0.10906736090711	0.32159826048470785	0.33430799220272905	0.10796826949134636	3
GLI1	0.6609999999999999	12	0.0076335877862595426	0.0076335877862595426	0.0	0.019230769230769232	0.019230769230769232	0.0	1
GLI2	0.64543065669854	11	0.5093375143548353	0.5983291562238929	0.3137197173413679	0.5797794040043026	0.7011173184357542	0.313218986254872	9
GLI3	0.6112852664576803	11	0.25125628140703515	0.25125628140703515	0.0	0.4603174603174603	0.4603174603174603	0.0	1
GLIS1	0.6887898686679174	13	0.2503754289241799	0.25801096283492336	0.024103097251338555	0.3998109619972225	0.3950518446506737	0.031331547107814724	4
GLIS2	0.7512959972805303	14	0.5226076345352575	0.5226076345352575	0.04047029397378354	0.5728843452108976	0.5728843452108976	0.02880298112359422	2
GLIS3	0.7431486880466472	10	0.3402489626556017	0.3402489626556017	0.0	0.6563786008230452	0.6563786008230452	0.0	1
GMEB2	0.4857317197677054	11	0.8577949629661108	0.8577949629661108	0.06513364739068206	0.8980919886967662	0.8980919886967662	0.04486247733608551	2
GRHL1	0.4829999999999999	12	0.26037735849056604	0.26037735849056604	0.0	0.4591232227488152	0.4591232227488152	0.0	1
GRHL2	0.5182763246143528	12	0.09120810872499632	0.07734362794186778	0.057877773084722514	0.1992241499192164	0.18228488522831804	0.07766767440208355	18
HBP1	0.3333333333333333	9	0.4312608075125509	0.4095394736842105	0.05512487569088819	0.6368495599980829	0.6590143652484707	0.05889561574062345	3
HES1	0.6567307692307693	13	0.1641942260568194	0.15406480955088114	0.1094350348785288	0.27906563084350794	0.2620915032679739	0.13407677783829008	5
HES7	0.7274739583333333	12	0.0	0.0	0.0	0.0	0.0	0.0	1
HEY1	0.6443569553805774	12	0.5028968911601883	0.5385996409335727	0.09448132261464327	0.6384740951674938	0.6392731217792244	0.09824626302883406	3
HIC1	0.7120243531202435	9	0.3279666774154778	0.3279666774154778	0.03261059780449383	0.4269915508199553	0.4269915508199553	0.03323701394630649	2
HIC2	0.6190637720488467	11	0.0	0.0	0.0	0.0	0.0	0.0	1
HIF1A	0.59075	8	0.185445733467087	0.16758378386259234	0.09255198602275164	0.36804613650654255	0.3865427910657432	0.10683224620140308	12
HINFP	0.5865922473119379	16	0.3011592493647585	0.2781456953642384	0.14171670943849246	0.4790642802833814	0.4313725490196079	0.1337562885964884	5
HLF	0.3962025164928405	13	0.0391213495588711	0.0391213495588711	0.0005592533953197938	0.20296406643165146	0.20296406643165146	0.0031415582527166697	2
HLTF	0.5120370370370371	12	0.271893461210649	0.271893461210649	0.03659401913836504	0.4352018636818065	0.4352018636818065	0.029980301225093424	2
HMBX1	0.4016666666666666	9	0.09789890981169476	0.09789890981169476	0.0	0.2345990290896775	0.2345990290896775	0.0	1
HNF1A	0.2688	15	0.08384554071583243	0.0655515222127527	0.09198593182000456	0.2097772208610305	0.19215777763747285	0.15042837307032744	4
HNF1B	0.21309090909090908	11	0.04178138904074733	0.028311965811965805	0.039811255268852125	0.16636371960718555	0.13844086021505375	0.11517142752969915	3
HNF4A	0.4994285714285714	14	0.10799655550765264	0.09621824562007493	0.05453741117369711	0.2686080999823711	0.27009662564923165	0.08260321773525177	18
HNF4G	0.5081428571428571	14	0.09331689048101803	0.08694282564183338	0.07561555894432492	0.22090858734822927	0.2255276156264032	0.13598989031104144	9
HXA1	0.43243243243243257	10	0.5435041716328963	0.5435041716328963	0.0	0.7302060064532142	0.7302060064532142	0.0	1
HXA10	0.2673992673992675	12	0.21505376344086025	0.21505376344086025	0.0	0.4485294117647059	0.4485294117647059	0.0	1
HXA11	0.21017003435625686	13	0.2556390977443609	0.2556390977443609	0.0	0.2687687687687688	0.2687687687687688	0.0	1
HXA13	0.32884012539184954	11	0.20589079287651327	0.2586466165413534	0.11780742947791495	0.33309190907714953	0.2722371967654987	0.162618527699314	3
HXA2	0.2922870951778937	11	0.0201688555347092	0.0201688555347092	0.0	0.6060606060606061	0.6060606060606061	0.0	1
HXA5	0.2555413998677681	10	0.4473684210526316	0.4473684210526316	0.0	0.6205250596658711	0.6205250596658711	0.0	1
HXA9	0.2612727272727273	11	0.013012884266338004	0.01457725947521866	0.01086603529098092	0.08747034118736756	0.10687830687830688	0.034516114975697836	3
HXB13	0.2826	10	0.017066021690022932	0.008316604531115572	0.02283002593422929	0.08492898424266343	0.06749344670352668	0.0612016428071412	19
HXB4	0.37125	8	0.1914893617021277	0.1914893617021277	0.0	0.3829787234042553	0.3829787234042553	0.0	1
HXB6	0.29377030590629666	13	0.4315352697095436	0.4315352697095436	0.0	0.6601307189542484	0.6601307189542484	0.0	1
HXB7	0.2	10	0.10751588956119387	0.13204225352112675	0.0878588700516436	0.21899999095996167	0.2572614107883817	0.1502356021635403	3
HXC6	0.18	15	0.325503355704698	0.325503355704698	0.0	0.546875	0.546875	0.0	1
HXC8	0.3591492776886035	14	0.43387470997679817	0.43387470997679817	0.0	0.61198738170347	0.61198738170347	0.0	1
HXC9	0.3166	10	0.052397172231857074	0.052397172231857074	0.006305484206704193	0.2486804749779219	0.2486804749779219	0.008888215905603142	2
HXD11	0.27492668621700883	11	0.1	0.1	0.0	0.19117647058823528	0.19117647058823528	0.0	1
HSF1	0.4008307372793354	9	0.2493058343528396	0.20057800857981486	0.15131168852799765	0.4166324217633092	0.3965517241379311	0.15764549857949992	57
HSF2	0.4374588671649016	14	0.17861799217731422	0.17861799217731422	0.0	0.35076252723311546	0.35076252723311546	0.0	1
IKZF1	0.5822368421052632	8	0.1781457994365589	0.12788961671445356	0.18149106071089136	0.2870209275545788	0.2489962104012704	0.1833126441372641	18
IRF1	0.3455911823647295	20	0.2075825091146518	0.18606375092661231	0.08479831870875695	0.3602966390229904	0.3399079552925707	0.08276544475717204	13
IRF2	0.3690763052208835	20	0.15289373371154336	0.13348588863463004	0.0861285550315792	0.32862119950162777	0.29662077596996245	0.12923693895272334	3
IRF3	0.4212000000000001	20	0.5048089854927519	0.5539568345323741	0.157978539999352	0.7150301524891866	0.8032036613272311	0.15645896416665542	3
IRF4	0.4296666666666664	18	0.13616146113711025	0.12498385221547605	0.0889953221105668	0.30130086284387264	0.2849862798902391	0.10314511460031088	7
IRF5	0.35666666666666663	20	0.07087108266166675	0.030795066166818437	0.09730893141684822	0.15500404377589969	0.16713979090216713	0.1493065305550314	3
IRF9	0.31746031746031755	12	0.06142953422269457	0.08403827485785606	0.053813552394778114	0.15766198178558188	0.22550235673530145	0.136980907480663	3
ISL1	0.4533333333333334	9	0.005549389567147614	0.005549389567147614	0.0	0.07654320987654321	0.07654320987654321	0.0	1
JDP2	0.4763276544283715	12	0.016094420600858368	0.016094420600858368	0.0	0.12448132780082988	0.12448132780082988	0.0	1
JUN	0.4478181818181817	11	0.1214081867569922	0.10636120853537287	0.08509771856583485	0.22430275758203888	0.2190529187024158	0.11297602858513285	32
JUNB	0.4541818181818181	11	0.1813457283345114	0.11130710883753747	0.18975513832825736	0.2928965883263525	0.2271407837445573	0.22298877078620505	9
JUND	0.4739393939393939	11	0.15141193280187645	0.12823856227677305	0.11880332158483067	0.2646141319830245	0.2508704154146993	0.14341803667496542	25
KLF1	0.7741747005550685	14	0.4084156119678181	0.3857032655754249	0.14088878636887253	0.5213844372554062	0.5237378162651107	0.11657669824914944	6
KLF12	0.8533789219629927	11	0.7991733181299886	0.7991733181299886	0.0	0.8224346935291105	0.8224346935291105	0.0	1
KLF13	0.7595252485749161	11	0.5276315324063241	0.5276315324063241	0.0016761051011639915	0.6216760520617951	0.6216760520617951	0.011537440028734459	2
KLF15	0.7238764970882322	19	0.4685557478223861	0.5637434815136472	0.2680809134753409	0.552307958575015	0.6564051047726547	0.2498049454281468	10
KLF16	0.7570040485829957	19	0.13489047606846852	0.13489047606846852	0.01700124717100061	0.2439023052688761	0.2439023052688761	0.02291549803502824	2
KLF3	0.740435425914183	19	0.3	0.3	0.0	0.4919886899151744	0.4919886899151744	0.0	1
KLF4	0.7589999999999999	10	0.2065742135486803	0.2325017325017325	0.11422747224511873	0.32629954789801324	0.3601868067717455	0.13742509491704838	9
KLF5	0.7022857142857146	14	0.2862899980577945	0.2680612274877339	0.1256365440082533	0.4407313767864185	0.47577260587562004	0.15958392295499524	11
KLF6	0.6939728353140917	19	0.36944437024241306	0.36944437024241306	0.17038687486291845	0.5148913272865687	0.5148913272865687	0.03265143145608307	2
KLF8	0.7142857142857143	9	0.4176444877725768	0.4176444877725768	0.0488966191776447	0.521011046224334	0.521011046224334	0.0016150691602726788	2
KLF9	0.7802083333333333	15	0.5440808034877683	0.5779011435948708	0.12997611114875146	0.6599376235534451	0.6859699145703442	0.11567313901595695	6
LEF1	0.4304511278195489	14	0.3807503794565357	0.19531002583477747	0.31938161586438696	0.4881671873384162	0.3174826814883801	0.28597091912750777	6
LHX2	0.3248062015503876	12	0.11514385947457145	0.11514385947457145	0.14530717005212665	0.053303408612708665	0.053303408612708665	0.0	1
LHX3	0.1402014938207094	13	0.08029197080291971	0.08029197080291971	0.0	0.18055555555555555	0.18055555555555555	0.0	1
LMX1B	0.17571859120696295	18	0.018867924528301886	0.018867924528301886	0.0	0.0967741935483871	0.0967741935483871	0.0	1
LYL1	0.5321665089877009	14	0.11901648394960455	0.021634151052733242	0.24270362817242802	0.0971923993037943	0.08860892735001355	0.037128832329721716	6
MAF	0.4987399193548386	8	0.26744338003639245	0.2736619910984537	0.2532049760661159	0.40492157361883374	0.410641522473669	0.2583742673637382	6
MAFB	0.4877955025946569	11	0.6246895181321411	0.6246895181321411	0.0	0.780699133552435	0.780699133552435	0.0	1
MAFF	0.530069304717192	9	0.03224053728581465	0.03224053728581465	0.003978958881811351	0.18558631726911765	0.18558631726911765	0.022548232246099448	2
MAFG	0.5220883534136547	8	0.036575196482828636	0.036575196482828636	0.001163060215500482	0.1432104386906718	0.1432104386906718	0.0031287857369298746	2
MAFK	0.5151401166071092	13	0.09178919421037822	0.08471567267683773	0.05379158279531286	0.2719403176116431	0.254418542216654	0.0900724761727182	9
MAX	0.6634	10	0.30414892842217706	0.25114540520351514	0.16627559436157582	0.4342945716462519	0.4044924309435075	0.1602617989177249	36
MAZ	0.7977927422371867	11	0.35593407631835844	0.3557063813152783	0.14135887051290674	0.4820825272400194	0.4732697109478804	0.10064286230517364	10
MBD2	0.8133116883116883	11	0.5241125436315506	0.6257874842503149	0.22096968242621973	0.5864919522460941	0.54856888625241	0.18830886675592	11
MECP2	0.8476019202413125	7	0.3450843137258515	0.35318258630401544	0.0909273037429589	0.5312932347264836	0.5274654514834811	0.05928275923922501	5
MEF2A	0.2750769230769231	13	0.18325567800751466	0.1756003352403163	0.01514789081516906	0.32342418695859165	0.3248215916393276	0.035168353238432974	3
MEF2B	0.3097142857142857	14	0.03729296441824539	0.03577073611320186	0.019690456564126976	0.1106394047251848	0.1094305702320642	0.034691733383255416	14
MEF2C	0.28	13	0.1098273154365629	0.043478260869565216	0.1242939444722942	0.19036693658113826	0.0979020979020979	0.18553855018439336	3
MEF2D	0.2555000000000001	12	0.10938738969405172	0.14880223815352334	0.07245152109162056	0.2241591502240282	0.2850403701351719	0.10753165577378623	3
MEIS1	0.5182222222222221	9	0.0346704739290517	0.03109463217325356	0.016199655414086498	0.12947124123378556	0.130939226519337	0.03595229364017928	5
MEIS2	0.4539193540245025	13	0.02985074626865672	0.02985074626865672	0.0	0.0273972602739726	0.0273972602739726	0.0	1
MEIS3	0.4756733420107279	11	0.0	0.0	0.0	0.05952380952380953	0.05952380952380953	0.0	1
MITF	0.5646	10	0.24712845306443515	0.20885896527285613	0.21033351983168674	0.4114720171665041	0.3865151447362534	0.2281193133535295	9
MSX1	0.2561314831345056	18	0.08852459016393442	0.08852459016393442	0.0	0.2432432432432433	0.2432432432432433	0.0	1
MXI1	0.6490909090909092	11	0.3631575696239049	0.35438936498803864	0.06521191640270624	0.5137038769616857	0.5018394012431815	0.06400468794344391	7
MYB	0.5118333333333334	12	0.2132606719776728	0.21390469416785207	0.04170658392668705	0.3603630503317613	0.35498638233760216	0.04689201917293336	13
MYBB	0.43684210526315786	10	0.24409847490711395	0.19337705523739146	0.1653267975308267	0.4592172152007718	0.4307692307692308	0.17721654110966395	5
