tf	group	class	tissue_advanced	shared_class	specific_group	tissue_specific	ubiquitous	shared	hoco_tf	gene	gc_percentage	length	type	induced
KAISO_HUMAN.H11MO.0.A	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	KAISO	ZBTB33	0.6056224899598396	15	Ubiquitously Shared TF	0
VEZF1_HUMAN.H11MO.0.C	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	VEZF1	VEZF1	0.6360909090909093	22	Ubiquitously Shared TF	0
EHF_HUMAN.H11MO.0.B	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	EHF	EHF	0.4998666666666667	15	Ubiquitously Shared TF	0
ELK1_HUMAN.H11MO.0.B	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	ELK1	ELK1	0.5927272727272727	11	Ubiquitously Shared TF	0
KLF12_HUMAN.H11MO.0.C	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	KLF12	KLF12	0.8533789219629927	11	Ubiquitously Shared TF	0
MAZ_HUMAN.H11MO.0.A	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	MAZ	MAZ	0.6748181818181817	22	Ubiquitously Shared TF	0
ZN770_HUMAN.H11MO.0.C	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	ZN770	ZNF770	0.6641929499072358	22	Ubiquitously Shared TF	0
KLF5_HUMAN.H11MO.0.A	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	KLF5	KLF5	0.7022857142857146	14	Ubiquitously Shared TF	0
ETV1_HUMAN.H11MO.0.A	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	ETV1	ETV1	0.6381818181818182	11	Ubiquitously Shared TF	0
CTCF_HUMAN.H11MO.0.A	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	CTCF	CTCF	0.6975789473684211	19	Ubiquitously Shared TF	0
FEV_HUMAN.H11MO.0.B	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	FEV	FEV	0.6052208835341367	10	Ubiquitously Shared TF	0
ETS2_HUMAN.H11MO.0.B	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	ETS2	ETS2	0.4967692307692308	13	Ubiquitously Shared TF	0
TFDP1_HUMAN.H11MO.0.C	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	TFDP1	TFDP1	0.6498571428571428	14	Ubiquitously Shared TF	0
ELF1_HUMAN.H11MO.0.A	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	ELF1	ELF1	0.5807142857142856	14	Ubiquitously Shared TF	0
THA11_HUMAN.H11MO.0.B	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	THA11	THAP11	0.5220057720057719	22	Ubiquitously Shared TF	0
E2F1_HUMAN.H11MO.0.A	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	E2F1	E2F1	0.6738571428571428	14	Ubiquitously Shared TF	0
KLF3_HUMAN.H11MO.0.B	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	KLF3	KLF3	0.740435425914183	19	Ubiquitously Shared TF	0
KLF9_HUMAN.H11MO.0.C	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	KLF9	KLF9	0.7802083333333333	15	Ubiquitously Shared TF	0
TFEB_HUMAN.H11MO.0.C	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	TFEB	TFEB	0.5757477776311346	9	Ubiquitously Shared TF	0
ATF3_HUMAN.H11MO.0.A	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	ATF3	ATF3	0.5574545454545453	11	Ubiquitously Shared TF	0
ZN143_HUMAN.H11MO.0.A	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	ZN143	ZNF143	0.5233636363636364	22	Ubiquitously Shared TF	0
TYY1_HUMAN.H11MO.0.A	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	TYY1	YY1	0.5710080941869021	12	Ubiquitously Shared TF	0
ETV5_HUMAN.H11MO.0.C	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	ETV5	ETV5	0.5174285714285715	14	Ubiquitously Shared TF	0
SP1_HUMAN.H11MO.0.A	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	SP1	SP1	0.8458735653124432	22	Ubiquitously Shared TF	0
E2F4_HUMAN.H11MO.0.A	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	E2F4	E2F4	0.709846153846154	13	Ubiquitously Shared TF	0
THB_HUMAN.H11MO.0.C	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	THB	THRB	0.5660043281526657	17	Ubiquitously Shared TF	0
CREB1_HUMAN.H11MO.0.A	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	CREB1	CREB1	0.4894545454545454	11	Ubiquitously Shared TF	0
USF1_HUMAN.H11MO.0.A	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	USF1	USF1	0.6211805555555557	12	Ubiquitously Shared TF	0
RFX2_HUMAN.H11MO.0.A	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	RFX2	RFX2	0.5778828473863935	18	Ubiquitously Shared TF	0
ZNF76_HUMAN.H11MO.0.C	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	ZNF76	ZNF76	0.5616100766703176	22	Ubiquitously Shared TF	0
ZN281_HUMAN.H11MO.0.A	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	ZN281	ZNF281	0.7522821576763487	15	Ubiquitously Shared TF	0
RFX1_HUMAN.H11MO.0.B	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	RFX1	RFX1	0.6693642666570492	22	Ubiquitously Shared TF	0
NFYC_HUMAN.H11MO.0.A	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	NFYC	NFYC	0.501173708920188	14	Ubiquitously Shared TF	0
ZBT17_HUMAN.H11MO.0.A	ubiquitous ubiquitous	all	['uterus', 'skin_lymph', 'liver', 'blood_hematopoieticprogenitor', 'lung', 'prostate', 'skin_foreskin', 'embryo', 'muscle', 'blood_myeloid', 'lung_carcinoma', 'blood_k562', 'breast', 'blood_marrow', 'heart', 'ovary', 'stem_cell', 'kidney', 'lung_fetal', 'skin', 'brain', 'eye', 'lung_muscle', 'umbilical_cord', 'intestine', 'blood_lymphoid', 'bone']	ubiquitous	ubiquitous	0	1	1	ZBT17	ZBTB17	0.6267368421052631	19	Ubiquitously Shared TF	0
